Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription
1,1900,1,10,,,,1,1,,,,0,INDONESIA,"GALELA,NanHALMAHERANanISLAND",1.82,127.85,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
2,1900,8,11,4,40,,4,3,,,,0,USA,"LITUYANanBAY,NanAK",58.6,-137.5,,1,,,,5,1,,,,,,1,,,,,5,1,,,,,,1,,,,
3,1900,9,10,21,30,,4,1,6.8,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-4,152,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
4,1900,9,17,21,45,,3,1,7.1,,,0,PAPUANanNEWNanGUINEA,RABAULNanHARBOR,-5,148,3,1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
5,1900,10,7,21,4,,3,1,6.9,,,0,INDONESIA,BISMARCKNanSEA,-4,140,,4,,1,1.5,5,1,,,,,,1,1,1,,,5,1,,,,,,1,1,1,,
6,1900,10,29,9,11,,3,1,7.7,,,0,VENEZUELA,MANCUTO,11,-66,10,5,,,,,,,,,,,1,,1,,,25,1,,,,,,3,,3,,3
7,1901,3,3,7,45,,3,3,6.7,,,0,USA,"MONTEREYNanBAY,NanN.NanCALIFORNIA",36,-120.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1901,3,31,7,12,,3,1,7.2,,,0,BULGARIA,BLACKNanSEA,43.4,28.5,3,1,,,4,,,,,,,,,,,,,4,1,,,50,1,,3,1200,4,,
9,1901,6,15,,,,4,1,6,,,0,JAPAN,"IWATE,NanJAPAN",39,143,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1901,6,24,,,,4,1,7.5,,,0,JAPAN,RYUKYUNanISLANDS,28,130.3,0.25,4,,-2.3,-1.5,,,,,,,,1,,,,,,,,,,,,1,,,,
11,1901,8,9,9,23,30,4,1,7.2,,,0,JAPAN,OFFNanNORTHEASTNanCOASTNanHONSHU,40.5,142.5,0.6,3,,0,-0.5,,,,,,,,,,,,,,,,,,,,2,,,,
12,1901,8,9,13,1,,4,1,7.9,5064,,0,NEWNanCALEDONIA,LOYALTYNanISLANDS,-22,170,1.2,10,,-0.7,,,1,,,,,,2,,,,,,1,,,,,,2,,,,
13,1901,8,9,18,33,45,4,1,7.4,,,0,JAPAN,OFFNanNORTHEASTNanCOASTNanHONSHU,40.6,142.3,0.25,2,,-1,-1,,,,,,,,,,,,,18,1,,,,,,2,8,1,,
14,1901,8,9,20,0,,4,1,6.3,,,0,JAPAN,OFFNanNORTHEASTNanCOASTNanHONSHU,40.5,142.5,0.02,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
15,1901,9,10,0,30,,2,1,7,,,0,PHILIPPINES,E.NanLUZONNanISLAND,14,121.6,,1,,,0,,,,,,,,,,,,,,,,,,,,2,,,,2
16,1901,10,8,2,16,,3,1,7,,,0,NICARAGUA,NICARAGUA,11,-86.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
17,1901,12,31,9,2,30,1,1,7.1,,,0,USA,"FOXNanISLANDS,NanALEUTIANNanISLANDS,NanAK",51.45,-171.02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1902,1,18,23,23,,1,2,6.3,,,0,GUATEMALA,OCOSA,14.71,-91.59,,0,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
19,1902,2,26,,,,3,1,7,,,0,ELNanSALVADOR,ELNanSALVADOR-GUATEMALA,13.5,-89.5,,4,,2.3,2,185,3,,,100,2,,3,,,,,185,3,,,100,2,,3,,,,
20,1902,4,19,2,23,30,0,1,7.5,,,0,GUATEMALA,OCOS,14,-91,,0,,,,,,,,,,,,,,,,2000,4,,,,,,3,,,,
21,1902,5,5,,,,4,7,,4707,,1,MARTINIQUENan(FRENCHNanTERRITORY),MOUNTNanPELEE,14.82,-61.17,5,1,,,,,,,,,,,,,,,,23,1,,,,,,,,,,
22,1902,5,7,,,,4,6,,4199,,1,SAINTNanVINCENTNanANDNanTHENanGRENADINES,SOUFRIERENanVOLCANO,13.33,-61.18,1,3,,,,,,,,,,,,,,,,1680,4,,,,3,,1,,,,
23,1902,5,8,,,,2,6,,4193,,0,MARTINIQUENan(FRENCHNanTERRITORY),MOUNTNanPELEE,14.82,-61.17,,1,,,,,,,,,,,,,,,,28000,4,,,,,,,,,,
